DATE,LIQUIDITY,VALUE,PRICE
2021-03-06,73426.43036,20192.26835,0.275
2021-03-07,49783.04451,23547.38006,0.473
2021-03-08,62879.85017,190337.3065,3.027
2021-03-09,61411.83588,252586.881,4.113
2021-03-10,52920.17986,179134.8088,3.385
2021-03-11,46035.36815,212499.2594,4.616
2021-03-12,43664.76636,183086.3654,4.193
2021-03-13,125151.1622,199616.1036,1.595
2021-03-14,128902.7646,195803.2994,1.519
2021-03-15,126749.7508,163760.678,1.292
2021-03-16,152606.1807,152758.7869,1.001
2021-03-17,158427.7852,159853.6352,1.009
2021-03-18,158579.6602,149223.4602,0.941
2021-03-19,179839.5308,214009.0416,1.19
2021-03-20,161867.224,157820.5434,0.975
2021-03-21,148004.7325,149336.775,1.009
2021-03-22,152881.7828,138358.0135,0.905
2021-03-23,151177.6969,144828.2337,0.958
2021-03-24,160740.0318,126663.1451,0.788
2021-03-25,171901.7252,135286.6577,0.787
2021-03-26,168353.0631,127443.2688,0.757
2021-03-27,186227.0649,133524.8056,0.717
2021-03-28,181978.3962,139213.4731,0.765
2021-03-29,171907.1575,163483.7067,0.951
2021-03-30,148132.7687,154502.4778,1.043
2021-03-31,151831.5443,133004.4328,0.876
2021-04-01,159779.2295,136291.6828,0.853
2021-04-02,166913.4925,131694.7456,0.789
2021-04-03,186011.2417,138950.3976,0.747
2021-04-04,178196.3233,130796.1013,0.734
2021-04-05,181750.1992,137766.651,0.758
2021-04-06,184322.2967,150959.961,0.819
2021-04-07,185020.5762,142280.8231,0.769
2021-04-08,187900.702,123262.8605,0.656
2021-04-09,185822.7468,146614.1472,0.789
2021-04-10,179293.3725,128553.3481,0.717
2021-04-11,175064.9751,124646.2623,0.712
2021-04-12,181594.1055,101147.9168,0.557
2021-04-13,174304.163,115389.3559,0.662
2021-04-14,189345.7004,110388.5434,0.583
2021-04-15,219222.8737,152359.8972,0.695
2021-04-16,229265.7811,124720.5849,0.544
2021-04-17,225043.6713,132550.7224,0.589
2021-04-18,222846.6078,133039.4248,0.597
2021-04-19,221317.9096,141643.4621,0.64
2021-04-20,238248.749,136278.2844,0.572
2021-04-21,240245.9747,139102.4193,0.579
2021-04-22,246298.5276,157384.7591,0.639
2021-04-23,234185.4891,132080.6158,0.564
2021-04-24,234908.8919,141650.0618,0.603
2021-04-25,264205.81,163807.6022,0.62
2021-04-26,268464.2622,238396.2648,0.888
2021-04-27,291363.0282,279999.8701,0.961
2021-04-28,310267.1356,265278.4009,0.855
2021-04-29,342681.5056,271403.7524,0.792
2021-04-30,354211.1075,260345.164,0.735
2021-05-01,328916.7836,239451.4185,0.728
2021-05-02,330329.4137,225284.6602,0.682
2021-05-03,346183.6076,265869.0107,0.768
2021-05-04,393397.2834,243512.9184,0.619
2021-05-05,385384.5325,238553.0256,0.619
2021-05-06,380039.5579,224223.3392,0.59
2021-05-07,393862.0617,214260.9616,0.544
2021-05-08,373551.0299,218900.9035,0.586
2021-05-09,389869.3383,215987.6134,0.554
2021-05-10,468501.5319,223006.7292,0.476
2021-05-11,435089.2919,241039.4677,0.554
2021-05-12,449704.5327,245538.6748,0.546
2021-05-13,421262.429,183249.1566,0.435
2021-05-14,417482.2975,189536.963,0.454
2021-05-15,417480.3442,178681.5873,0.428
2021-05-16,396177.9042,143416.4013,0.362
2021-05-17,382457.3469,151070.652,0.395
2021-05-18,368439.3119,141480.6958,0.384
2021-05-19,380891.1013,101317.033,0.266
2021-05-20,373953.665,92366.55526,0.247
2021-05-21,326445.5307,78673.3729,0.241
2021-05-22,315851.2013,66960.45467,0.212
2021-05-23,317388.3232,72681.92601,0.229
2021-05-24,250661.0224,65422.52685,0.261
2021-05-25,257291.3229,56346.79971,0.219
2021-05-26,274317.0752,64738.82974,0.236
2021-05-27,252965.5299,56158.34765,0.222
2021-05-28,250223.6571,43288.69268,0.173
2021-05-29,215870.2196,34970.97557,0.162
2021-05-30,190193.4999,30430.95999,0.16
2021-05-31,203240.0605,35160.53046,0.173
2021-06-01,196994.3469,33686.03333,0.171
